town,storey_range,floor_area_sqm,remaining_lease
88071,ANG MO KIO,0,93.0,81
88072,ANG MO KIO,2,90.0,89
88073,ANG MO KIO,2,90.0,80
88074,ANG MO KIO,2,90.0,89
88075,ANG MO KIO,2,91.0,80
88076,ANG MO KIO,0,90.0,89
88077,ANG MO KIO,1,91.0,80
88078,ANG MO KIO,2,91.0,89
88079,ANG MO KIO,2,91.0,89
88080,ANG MO KIO,2,91.0,80
88081,ANG MO KIO,2,91.0,89
88082,ANG MO KIO,2,91.0,80
88083,ANG MO KIO,1,90.0,80
88084,ANG MO KIO,1,90.0,80
88085,ANG MO KIO,2,123.0,55
88086,ANG MO KIO,1,127.0,71
88087,ANG MO KIO,0,119.0,90
88088,ANG MO KIO,0,123.0,55
88089,ANG MO KIO,1,119.0,90
88090,ANG MO KIO,0,123.0,55
88091,ANG MO KIO,0,123.0,55
88092,ANG MO KIO,2,121.0,90
88093,ANG MO KIO,0,118.0,59
88094,ANG MO KIO,2,120.0,57
88095,ANG MO KIO,2,120.0,57
88096,ANG MO KIO,2,119.0,58
88097,ANG MO KIO,0,120.0,57
88098,ANG MO KIO,1,118.0,58
88099,ANG MO KIO,2,118.0,58
88100,ANG MO KIO,2,118.0,58
88101,ANG MO KIO,1,118.0,58
88102,ANG MO KIO,0,134.0,57
88103,ANG MO KIO,2,119.0,58
88104,ANG MO KIO,0,120.0,57
88105,ANG MO KIO,2,120.0,57
88106,ANG MO KIO,1,136.0,58
88107,ANG MO KIO,2,119.0,57
88108,ANG MO KIO,2,118.0,58
88109,ANG MO KIO,1,119.0,58
88110,ANG MO KIO,0,119.0,56
88111,ANG MO KIO,0,135.0,59
88112,ANG MO KIO,0,133.0,71
88113,ANG MO KIO,1,117.0,56
88114,ANG MO KIO,1,127.0,71
88115,ANG MO KIO,0,127.0,71
88116,ANG MO KIO,0,123.0,56
88117,ANG MO KIO,1,123.0,55
88118,ANG MO KIO,0,123.0,56
88119,ANG MO KIO,1,117.0,55
88120,ANG MO KIO,2,133.0,74
88121,ANG MO KIO,0,134.0,71
88122,ANG MO KIO,1,137.0,74
88123,ANG MO KIO,1,127.0,59
88124,ANG MO KIO,0,127.0,59
88125,ANG MO KIO,2,118.0,58
88126,ANG MO KIO,0,121.0,58
88127,ANG MO KIO,1,121.0,58
88128,ANG MO KIO,1,121.0,58
88129,ANG MO KIO,1,121.0,58
88130,ANG MO KIO,1,121.0,58
88131,ANG MO KIO,0,121.0,58
88132,ANG MO KIO,2,125.0,58
88133,ANG MO KIO,1,123.0,58
88134,ANG MO KIO,0,121.0,58
88135,ANG MO KIO,2,118.0,58
88136,ANG MO KIO,2,119.0,58
88137,ANG MO KIO,1,119.0,58
88138,ANG MO KIO,0,119.0,58
88139,ANG MO KIO,0,119.0,58
88140,ANG MO KIO,1,119.0,58
88141,ANG MO KIO,1,136.0,58
88142,ANG MO KIO,0,121.0,58
88143,ANG MO KIO,0,121.0,58
88144,ANG MO KIO,0,121.0,58
88145,ANG MO KIO,0,121.0,58
88146,ANG MO KIO,0,121.0,58
88147,ANG MO KIO,1,128.0,74
88148,ANG MO KIO,0,128.0,74
88149,ANG MO KIO,0,137.0,73
88150,ANG MO KIO,2,110.0,84
88151,ANG MO KIO,2,110.0,84
88152,ANG MO KIO,2,110.0,84
88153,ANG MO KIO,0,110.0,84
88154,ANG MO KIO,1,110.0,84
88155,ANG MO KIO,2,110.0,84
88156,ANG MO KIO,0,110.0,83
88157,ANG MO KIO,2,110.0,84
88158,ANG MO KIO,1,110.0,83
88159,ANG MO KIO,1,138.0,72
88160,ANG MO KIO,1,110.0,83
88161,ANG MO KIO,0,110.0,79
88162,ANG MO KIO,2,110.0,79
88163,ANG MO KIO,0,110.0,79
88164,ANG MO KIO,2,110.0,79
88165,ANG MO KIO,2,112.0,89
88166,ANG MO KIO,2,117.0,89
88167,ANG MO KIO,2,112.0,89
88168,ANG MO KIO,2,110.0,80
88169,ANG MO KIO,2,112.0,89
88170,ANG MO KIO,2,110.0,81
88171,ANG MO KIO,2,112.0,89
88172,ANG MO KIO,2,112.0,89
88173,ANG MO KIO,0,110.0,80
88174,ANG MO KIO,2,112.0,89
88175,ANG MO KIO,2,120.0,89
88176,ANG MO KIO,1,110.0,80
88177,ANG MO KIO,2,112.0,88
88178,ANG MO KIO,0,163.0,58
88179,ANG MO KIO,2,163.0,57
88180,ANG MO KIO,0,147.0,74
88181,ANG MO KIO,1,156.0,74
88182,ANG MO KIO,0,149.0,74
88183,ANG MO KIO,0,148.0,73
88184,ANG MO KIO,1,162.0,62
88185,ANG MO KIO,0,150.0,58
88186,ANG MO KIO,0,142.0,74
88187,ANG MO KIO,0,145.0,74
88188,BEDOK,1,45.0,56
88189,BEDOK,1,44.0,56
88190,BEDOK,0,45.0,63
88191,BEDOK,0,45.0,63
88192,BEDOK,1,45.0,64
88193,BEDOK,1,45.0,64
88194,BEDOK,0,45.0,64
88195,BEDOK,0,44.0,56
88196,BEDOK,0,47.0,94
88197,BEDOK,0,69.0,88
88198,BEDOK,2,69.0,88
88199,BEDOK,0,69.0,88
88200,BEDOK,2,62.0,87
88201,BEDOK,1,67.0,57
88202,BEDOK,0,67.0,57
88203,BEDOK,0,67.0,57
88204,BEDOK,1,67.0,57
88205,BEDOK,1,67.0,57
88206,BEDOK,0,68.0,58
88207,BEDOK,0,68.0,58
88208,BEDOK,0,68.0,58
88209,BEDOK,0,67.0,57
88210,BEDOK,1,82.0,57
88211,BEDOK,0,67.0,57
88212,BEDOK,1,68.0,58
88213,BEDOK,0,68.0,58
88214,BEDOK,1,82.0,57
88215,BEDOK,1,67.0,57
88216,BEDOK,0,67.0,56
88217,BEDOK,0,67.0,56
88218,BEDOK,1,68.0,58
88219,BEDOK,0,68.0,58
88220,BEDOK,0,67.0,57
88221,BEDOK,0,67.0,56
88222,BEDOK,1,82.0,57
88223,BEDOK,0,67.0,56
88224,BEDOK,2,82.0,57
88225,BEDOK,1,67.0,57
88226,BEDOK,0,67.0,57
88227,BEDOK,0,67.0,57
88228,BEDOK,1,67.0,56
88229,BEDOK,0,67.0,55
88230,BEDOK,1,67.0,55
88231,BEDOK,1,67.0,57
88232,BEDOK,0,67.0,55
88233,BEDOK,0,67.0,56
88234,BEDOK,0,67.0,55
88235,BEDOK,2,81.0,55
88236,BEDOK,0,67.0,56
88237,BEDOK,0,67.0,55
88238,BEDOK,2,67.0,55
88239,BEDOK,1,73.0,56
88240,BEDOK,1,67.0,55
88241,BEDOK,1,59.0,56
88242,BEDOK,0,59.0,56
88243,BEDOK,0,60.0,64
88244,BEDOK,1,59.0,56
88245,BEDOK,1,67.0,57
88246,BEDOK,2,59.0,56
88247,BEDOK,0,59.0,56
88248,BEDOK,1,81.0,55
88249,BEDOK,2,59.0,55
88250,BEDOK,1,59.0,55
88251,BEDOK,0,67.0,55
88252,BEDOK,1,73.0,56
88253,BEDOK,1,82.0,55
88254,BEDOK,0,67.0,55
88255,BEDOK,0,67.0,56
88256,BEDOK,0,73.0,56
88257,BEDOK,1,67.0,55
88258,BEDOK,2,59.0,55
88259,BEDOK,1,67.0,55
88260,BEDOK,1,67.0,55
88261,BEDOK,0,67.0,55
88262,BEDOK,1,67.0,56
88263,BEDOK,1,82.0,55
88264,BEDOK,0,73.0,56
88265,BEDOK,2,69.0,64
88266,BEDOK,2,70.0,55
88267,BEDOK,1,59.0,55
88268,BEDOK,1,67.0,56
88269,BEDOK,2,60.0,64
88270,BEDOK,1,67.0,55
88271,BEDOK,0,60.0,64
88272,BEDOK,0,67.0,56
88273,BEDOK,0,67.0,56
88274,BEDOK,1,67.0,55
88275,BEDOK,0,59.0,55
88276,BEDOK,2,59.0,55
88277,BEDOK,1,73.0,56
88278,BEDOK,0,82.0,55
88279,BEDOK,0,68.0,57
88280,BEDOK,1,73.0,57
88281,BEDOK,0,68.0,57
88282,BEDOK,0,88.0,57
88283,BEDOK,1,68.0,57
88284,BEDOK,1,82.0,57
88285,BEDOK,1,68.0,56
88286,BEDOK,0,68.0,57
88287,BEDOK,0,68.0,56
88288,BEDOK,1,67.0,57
